코러스,['드라마'],9.31,3402,https://movie-phinf.pstatic.net//20171208_286/1512694590425x9EjV_JPEG/movie_image.jpg?type=m210
모던 타임즈,['코미디'],9.31,1192,https://movie-phinf.pstatic.net//20150210_110/1423530446210OeFV1_JPEG/movie_image.jpg?type=m210
업,"['애니메이션', '가족', '모험', '코미디', '액션']",9.31,6155,https://movie-phinf.pstatic.net//20111223_221/1324590426566npnJd_JPEG/movie_image.jpg?type=m210
빌리 엘리어트,"['드라마', '가족', '코미디']",9.31,3457,https://movie-phinf.pstatic.net//20170105_296/1483590193115rpMx5_JPEG/movie_image.jpg?type=m210
언더독,['애니메이션'],9.31,1451,https://movie-phinf.pstatic.net//20181224_250/1545613244716iYHTg_JPEG/movie_image.jpg?type=m210
피아니스트,"['드라마', '전쟁']",9.31,6435,https://movie-phinf.pstatic.net//20150608_292/1433754164299kVDXs_JPEG/movie_image.jpg?type=m210
나 홀로 집에 2 - 뉴욕을 헤매다,"['모험', '액션', '범죄', '스릴러', '코미디', '가족']",9.31,1581,https://movie-phinf.pstatic.net//20111221_101/13244782467487AIcS_JPEG/movie_image.jpg?type=m210
블라인드 사이드,['드라마'],9.31,4908,https://movie-phinf.pstatic.net//20111223_159/13246089113705W9ps_JPEG/movie_image.jpg?type=m210
바이센테니얼 맨,"['SF', '드라마']",9.3,1943,https://movie-phinf.pstatic.net//20111221_282/1324470047868yqNUI_JPEG/movie_image.jpg?type=m210
미스 슬로운,"['드라마', '스릴러']",9.3,1421,https://movie-phinf.pstatic.net//20170412_230/1491961688364Vftv5_JPEG/movie_image.jpg?type=m210
오세암,"['애니메이션', '드라마']",9.3,2110,https://movie-phinf.pstatic.net//20111222_125/1324507783843b9gEF_JPEG/movie_image.jpg?type=m210
아기공룡 둘리 - 얼음별 대모험,"['애니메이션', '가족', '코미디', '모험', '뮤지컬']",9.3,463,https://movie-phinf.pstatic.net//20111221_146/1324474085699H3JT7_JPEG/movie_image.jpg?type=m210
우리들의 일그러진 영웅,['드라마'],9.3,968,https://movie-phinf.pstatic.net//20111221_284/1324452236681SMIDe_JPEG/movie_image.jpg?type=m210
천공의 성 라퓨타,"['애니메이션', '판타지', '모험']",9.3,2591,https://movie-phinf.pstatic.net//20111222_264/1324541030764uwdKQ_JPEG/movie_image.jpg?type=m210
로망,['멜로/애정/로맨스'],9.3,566,https://movie-phinf.pstatic.net//20190306_13/1551862037635qnE0r_JPEG/movie_image.jpg?type=m210
