캐스트 어웨이,"['드라마', '모험']",9.36,2607,https://movie-phinf.pstatic.net//20111222_155/1324482759519Uvkyl_JPEG/movie_image.jpg?type=m210
여인의 향기,"['드라마', '코미디']",9.35,2794,https://movie-phinf.pstatic.net//20111222_152/1324529496355rYAnm_JPEG/movie_image.jpg?type=m210
주토피아,"['애니메이션', '액션', '모험', '코미디', '가족']",9.35,18473,https://movie-phinf.pstatic.net//20160217_153/1455686083975zjajH_JPEG/movie_image.jpg?type=m210
히든 피겨스,['드라마'],9.35,3690,https://movie-phinf.pstatic.net//20170323_41/14902311518230x8pp_JPEG/movie_image.jpg?type=m210
세 얼간이,['코미디'],9.34,25823,https://movie-phinf.pstatic.net//20161005_215/1475647328961ETC6k_JPEG/movie_image.jpg?type=m210
클레멘타인,"['액션', '드라마']",9.34,21306,https://movie-phinf.pstatic.net//20111222_33/1324533894503h3QAH_JPEG/movie_image.jpg?type=m210
"지금, 만나러 갑니다","['멜로/애정/로맨스', '드라마', '판타지']",9.34,15434,https://movie-phinf.pstatic.net//20180403_286/1522736958040KRAkQ_JPEG/movie_image.jpg?type=m210
타이타닉,"['멜로/애정/로맨스', '드라마']",9.34,20625,https://movie-phinf.pstatic.net//20181129_107/1543452551390CN9TW_JPEG/movie_image.jpg?type=m210
쉰들러 리스트,"['드라마', '전쟁']",9.34,3596,https://movie-phinf.pstatic.net//20190122_81/1548118455965SCCSW_JPEG/movie_image.jpg?type=m210
언터처블: 1%의 우정,"['코미디', '드라마']",9.34,7641,https://movie-phinf.pstatic.net//20120206_287/1328516303779LrC9h_JPEG/movie_image.jpg?type=m210
서유기 2 - 선리기연,"['코미디', '액션', '모험', '판타지', '멜로/애정/로맨스']",9.34,3789,https://movie-phinf.pstatic.net//20111223_77/1324614581048LAc6L_JPEG/movie_image.jpg?type=m210
에이리언 2,"['SF', '공포', '스릴러', '액션']",9.33,1746,https://movie-phinf.pstatic.net//20111223_189/1324569548247L26km_JPEG/movie_image.jpg?type=m210
모노노케 히메,"['애니메이션', '모험', '액션']",9.34,4297,https://movie-phinf.pstatic.net//20111222_63/1324483671210VVU36_JPEG/movie_image.jpg?type=m210
패왕별희,['드라마'],9.33,2017,https://movie-phinf.pstatic.net//20170309_211/1489024538678ITB9w_JPEG/movie_image.jpg?type=m210
굿 윌 헌팅,['드라마'],9.33,4316,https://movie-phinf.pstatic.net//20160810_49/14708058043034cuPp_JPEG/movie_image.jpg?type=m210
그대를 사랑합니다,['드라마'],9.33,7687,https://movie-phinf.pstatic.net//20111223_56/13246314342663riGK_JPEG/movie_image.jpg?type=m210
아마데우스,['드라마'],9.33,2983,https://movie-phinf.pstatic.net//20150915_185/1442285641128msR7J_JPEG/movie_image.jpg?type=m210
집으로...,"['드라마', '가족']",9.33,2511,https://movie-phinf.pstatic.net//20190805_26/1564994340344jQru8_JPEG/movie_image.jpg?type=m210
반지의 제왕: 두 개의 탑,"['판타지', '모험', '액션']",9.32,2700,https://movie-phinf.pstatic.net//20170112_295/1484183596684X2ucM_JPEG/movie_image.jpg?type=m210
다시 태어나도 우리,['다큐멘터리'],9.33,1006,https://movie-phinf.pstatic.net//20170831_207/1504142664133FKxXK_JPEG/movie_image.jpg?type=m210
드래곤 길들이기,"['애니메이션', '모험', '코미디', '가족', '판타지']",9.33,8764,https://movie-phinf.pstatic.net//20190102_130/1546395842249fT9Ei_JPEG/movie_image.jpg?type=m210
다크 나이트,"['액션', '범죄', '드라마', '미스터리']",9.33,26399,https://movie-phinf.pstatic.net//20170608_209/1496886337035SDPLy_JPEG/movie_image.jpg?type=m210
울지마 톤즈,['다큐멘터리'],9.33,4611,https://movie-phinf.pstatic.net//20111223_289/1324622149942dtKyL_JPEG/movie_image.jpg?type=m210
알라딘,"['애니메이션', '뮤지컬', '코미디', '가족', '모험', '드라마', '멜로/애정/로맨스']",9.34,578,https://movie-phinf.pstatic.net//20170418_64/1492495808221lgtrR_JPEG/movie_image.jpg?type=m210
폴란드로 간 아이들,"['다큐멘터리', '드라마']",9.32,533,https://movie-phinf.pstatic.net//20181004_63/1538615669479nezAh_JPEG/movie_image.jpg?type=m210
트루먼 쇼,"['코미디', '드라마', 'SF']",9.33,6459,https://movie-phinf.pstatic.net//20181030_24/1540878641446PBOcp_JPEG/movie_image.jpg?type=m210
미세스 다웃파이어,"['코미디', '가족', '드라마']",9.34,807,https://movie-phinf.pstatic.net//20111222_82/1324538552665F1zbw_JPEG/movie_image.jpg?type=m210
더 록,['액션'],9.32,2535,https://movie-phinf.pstatic.net//20111221_286/1324471145026nKaBX_JPEG/movie_image.jpg?type=m210
라푼젤,"['애니메이션', '코미디', '가족', '판타지', '뮤지컬', '멜로/애정/로맨스']",9.33,6816,https://movie-phinf.pstatic.net//20170418_162/1492497182954jDK7m_JPEG/movie_image.jpg?type=m210
